timestamp,Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),carbon_intensity,Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2022-01-01 00:00:00,Netherlands,Netherlands,NL,245.6,304.46,55.67,50.63,ned.nl,false,
2022-01-01 01:00:00,Netherlands,Netherlands,NL,255.69,317.52,53.08,47.8,ned.nl,false,
2022-01-01 02:00:00,Netherlands,Netherlands,NL,243.97,303.24,54.88,48.67,ned.nl,false,
2022-01-01 03:00:00,Netherlands,Netherlands,NL,236.41,295.02,55.4,48.23,ned.nl,false,
2022-01-01 04:00:00,Netherlands,Netherlands,NL,230.2,288.45,55.56,46.2,ned.nl,false,
2022-01-01 05:00:00,Netherlands,Netherlands,NL,221.17,277.64,57.73,46.77,ned.nl,false,
2022-01-01 06:00:00,Netherlands,Netherlands,NL,227.12,285.71,56.29,44.77,ned.nl,false,
2022-01-01 07:00:00,Netherlands,Netherlands,NL,225.09,283.71,56.24,42.21,ned.nl,false,
2022-01-01 08:00:00,Netherlands,Netherlands,NL,211.72,268.12,58.72,43.93,ned.nl,false,
2022-01-01 09:00:00,Netherlands,Netherlands,NL,185.76,238.03,63.92,50.69,ned.nl,false,
2022-01-01 10:00:00,Netherlands,Netherlands,NL,170.14,220.69,66.79,54.31,ned.nl,false,
2022-01-01 11:00:00,Netherlands,Netherlands,NL,168.39,219.03,67.15,57.09,ned.nl,false,
2022-01-01 12:00:00,Netherlands,Netherlands,NL,167.22,217.32,67.4,57.52,ned.nl,false,
2022-01-01 13:00:00,Netherlands,Netherlands,NL,171.93,221.52,66.92,56.95,ned.nl,false,
2022-01-01 14:00:00,Netherlands,Netherlands,NL,187.76,238.81,64.07,52.87,ned.nl,false,
2022-01-01 15:00:00,Netherlands,Netherlands,NL,217.24,272.48,58.65,47.92,ned.nl,false,
2022-01-01 16:00:00,Netherlands,Netherlands,NL,223.84,279.72,57.53,48.56,ned.nl,false,
2022-01-01 17:00:00,Netherlands,Netherlands,NL,228.9,284.54,58.1,50.45,ned.nl,false,
2022-01-01 18:00:00,Netherlands,Netherlands,NL,221.49,276.2,58.65,51.02,ned.nl,false,
2022-01-01 19:00:00,Netherlands,Netherlands,NL,210.71,263.65,61.08,53.62,ned.nl,false,
2022-01-01 20:00:00,Netherlands,Netherlands,NL,204.84,257.21,61.58,53.5,ned.nl,false,
2022-01-01 21:00:00,Netherlands,Netherlands,NL,213.54,267.84,60.15,52.92,ned.nl,false,
2022-01-01 22:00:00,Netherlands,Netherlands,NL,215.51,270.05,59.33,53.36,ned.nl,false,
2022-01-01 23:00:00,Netherlands,Netherlands,NL,208.56,261.44,60.9,54.88,ned.nl,false,
2022-01-02 00:00:00,Netherlands,Netherlands,NL,207.79,260.06,61.27,55.91,ned.nl,false,
2022-01-02 01:00:00,Netherlands,Netherlands,NL,203.78,254.83,61.62,56.97,ned.nl,false,
2022-01-02 02:00:00,Netherlands,Netherlands,NL,194.93,245.04,62.73,57.24,ned.nl,false,
2022-01-02 03:00:00,Netherlands,Netherlands,NL,186.16,235.43,64.02,56.41,ned.nl,false,
2022-01-02 04:00:00,Netherlands,Netherlands,NL,180.61,229.14,64.96,56.35,ned.nl,false,
2022-01-02 05:00:00,Netherlands,Netherlands,NL,176.01,224.48,65.57,56.56,ned.nl,false,
2022-01-02 06:00:00,Netherlands,Netherlands,NL,175.96,224.5,65.43,57.2,ned.nl,false,
2022-01-02 07:00:00,Netherlands,Netherlands,NL,177.65,226.11,65.24,57.14,ned.nl,false,
2022-01-02 08:00:00,Netherlands,Netherlands,NL,176.68,225.09,65.6,57.9,ned.nl,false,
2022-01-02 09:00:00,Netherlands,Netherlands,NL,168.94,216.58,67.37,59.62,ned.nl,false,
2022-01-02 10:00:00,Netherlands,Netherlands,NL,156.19,202.49,69.95,62.54,ned.nl,false,
2022-01-02 11:00:00,Netherlands,Netherlands,NL,158.44,204.98,69.54,63.15,ned.nl,false,
2022-01-02 12:00:00,Netherlands,Netherlands,NL,156.55,202.94,70.0,63.19,ned.nl,false,
2022-01-02 13:00:00,Netherlands,Netherlands,NL,155.48,201.53,70.25,62.92,ned.nl,false,
2022-01-02 14:00:00,Netherlands,Netherlands,NL,161.66,208.32,68.8,59.47,ned.nl,false,
2022-01-02 15:00:00,Netherlands,Netherlands,NL,177.33,225.78,65.9,55.35,ned.nl,false,
2022-01-02 16:00:00,Netherlands,Netherlands,NL,189.49,239.98,64.68,54.56,ned.nl,false,
2022-01-02 17:00:00,Netherlands,Netherlands,NL,200.23,252.38,63.03,54.95,ned.nl,false,
2022-01-02 18:00:00,Netherlands,Netherlands,NL,194.97,245.81,64.11,56.32,ned.nl,false,
2022-01-02 19:00:00,Netherlands,Netherlands,NL,189.39,239.49,64.65,56.2,ned.nl,false,
2022-01-02 20:00:00,Netherlands,Netherlands,NL,179.05,227.42,66.01,57.19,ned.nl,false,
2022-01-02 21:00:00,Netherlands,Netherlands,NL,175.71,222.59,66.44,57.99,ned.nl,false,
2022-01-02 22:00:00,Netherlands,Netherlands,NL,164.97,210.22,67.93,61.24,ned.nl,false,
2022-01-02 23:00:00,Netherlands,Netherlands,NL,163.11,208.41,67.69,62.55,ned.nl,false,
2022-01-03 00:00:00,Netherlands,Netherlands,NL,170.28,216.98,66.43,60.73,ned.nl,false,
2022-01-03 01:00:00,Netherlands,Netherlands,NL,166.22,212.43,66.68,59.5,ned.nl,false,
2022-01-03 02:00:00,Netherlands,Netherlands,NL,168.21,214.57,66.29,59.34,ned.nl,false,
2022-01-03 03:00:00,Netherlands,Netherlands,NL,164.77,211.34,66.43,58.94,ned.nl,false,
2022-01-03 04:00:00,Netherlands,Netherlands,NL,165.97,213.13,66.24,59.75,ned.nl,false,
2022-01-03 05:00:00,Netherlands,Netherlands,NL,160.95,207.26,67.27,58.83,ned.nl,false,
2022-01-03 06:00:00,Netherlands,Netherlands,NL,175.79,224.38,65.15,57.2,ned.nl,false,
2022-01-03 07:00:00,Netherlands,Netherlands,NL,194.05,244.85,63.75,58.52,ned.nl,false,
2022-01-03 08:00:00,Netherlands,Netherlands,NL,195.94,246.63,64.01,59.48,ned.nl,false,
2022-01-03 09:00:00,Netherlands,Netherlands,NL,183.19,233.41,64.98,59.89,ned.nl,false,
2022-01-03 10:00:00,Netherlands,Netherlands,NL,175.44,224.46,66.81,62.72,ned.nl,false,
2022-01-03 11:00:00,Netherlands,Netherlands,NL,172.84,221.08,67.91,64.87,ned.nl,false,
2022-01-03 12:00:00,Netherlands,Netherlands,NL,180.62,229.75,66.49,63.31,ned.nl,false,
2022-01-03 13:00:00,Netherlands,Netherlands,NL,186.99,237.12,65.11,61.99,ned.nl,false,
2022-01-03 14:00:00,Netherlands,Netherlands,NL,201.34,253.33,62.45,58.4,ned.nl,false,
2022-01-03 15:00:00,Netherlands,Netherlands,NL,226.38,281.85,58.18,53.65,ned.nl,false,
2022-01-03 16:00:00,Netherlands,Netherlands,NL,253.89,314.11,53.44,50.15,ned.nl,false,
2022-01-03 17:00:00,Netherlands,Netherlands,NL,267.15,330.35,50.47,47.24,ned.nl,false,
2022-01-03 18:00:00,Netherlands,Netherlands,NL,267.85,331.11,50.45,47.14,ned.nl,false,
2022-01-03 19:00:00,Netherlands,Netherlands,NL,267.17,328.81,52.15,48.4,ned.nl,false,
2022-01-03 20:00:00,Netherlands,Netherlands,NL,261.1,321.39,53.99,49.79,ned.nl,false,
2022-01-03 21:00:00,Netherlands,Netherlands,NL,260.66,320.63,54.38,49.94,ned.nl,false,
2022-01-03 22:00:00,Netherlands,Netherlands,NL,266.82,327.23,53.87,49.1,ned.nl,false,
2022-01-03 23:00:00,Netherlands,Netherlands,NL,280.63,343.06,51.66,46.63,ned.nl,false,
2022-01-04 00:00:00,Netherlands,Netherlands,NL,279.69,341.25,52.29,47.14,ned.nl,false,
2022-01-04 01:00:00,Netherlands,Netherlands,NL,267.82,329.18,52.51,46.44,ned.nl,false,
2022-01-04 02:00:00,Netherlands,Netherlands,NL,272.95,335.1,51.32,42.52,ned.nl,false,
2022-01-04 03:00:00,Netherlands,Netherlands,NL,289.58,355.58,47.26,37.76,ned.nl,false,
2022-01-04 04:00:00,Netherlands,Netherlands,NL,299.16,367.39,45.58,34.84,ned.nl,false,
2022-01-04 05:00:00,Netherlands,Netherlands,NL,317.4,391.51,39.79,31.22,ned.nl,false,
2022-01-04 06:00:00,Netherlands,Netherlands,NL,331.89,411.51,34.48,28.31,ned.nl,false,
2022-01-04 07:00:00,Netherlands,Netherlands,NL,351.81,433.2,33.0,28.18,ned.nl,false,
2022-01-04 08:00:00,Netherlands,Netherlands,NL,348.0,429.18,33.66,28.71,ned.nl,false,
2022-01-04 09:00:00,Netherlands,Netherlands,NL,345.6,426.99,34.29,29.64,ned.nl,false,
2022-01-04 10:00:00,Netherlands,Netherlands,NL,331.1,412.27,34.69,31.41,ned.nl,false,
2022-01-04 11:00:00,Netherlands,Netherlands,NL,324.58,403.71,37.05,33.9,ned.nl,false,
2022-01-04 12:00:00,Netherlands,Netherlands,NL,315.72,393.89,38.28,34.99,ned.nl,false,
2022-01-04 13:00:00,Netherlands,Netherlands,NL,319.08,398.23,37.27,34.01,ned.nl,false,
2022-01-04 14:00:00,Netherlands,Netherlands,NL,341.98,424.26,33.6,30.36,ned.nl,false,
2022-01-04 15:00:00,Netherlands,Netherlands,NL,349.28,431.95,32.1,28.74,ned.nl,false,
2022-01-04 16:00:00,Netherlands,Netherlands,NL,357.68,439.55,32.78,29.24,ned.nl,false,
2022-01-04 17:00:00,Netherlands,Netherlands,NL,349.86,431.68,32.81,29.4,ned.nl,false,
2022-01-04 18:00:00,Netherlands,Netherlands,NL,331.26,409.11,36.41,33.01,ned.nl,false,
2022-01-04 19:00:00,Netherlands,Netherlands,NL,328.06,403.97,38.3,34.75,ned.nl,false,
2022-01-04 20:00:00,Netherlands,Netherlands,NL,304.24,374.87,43.46,39.79,ned.nl,false,
2022-01-04 21:00:00,Netherlands,Netherlands,NL,293.29,355.81,51.32,46.85,ned.nl,false,
2022-01-04 22:00:00,Netherlands,Netherlands,NL,276.61,336.03,54.03,49.46,ned.nl,false,
2022-01-04 23:00:00,Netherlands,Netherlands,NL,265.28,323.06,55.4,50.6,ned.nl,false,
2022-01-05 00:00:00,Netherlands,Netherlands,NL,252.51,308.68,56.91,52.23,ned.nl,false,
2022-01-05 01:00:00,Netherlands,Netherlands,NL,237.02,289.61,60.59,55.79,ned.nl,false,
2022-01-05 02:00:00,Netherlands,Netherlands,NL,223.07,273.97,62.41,57.57,ned.nl,false,
2022-01-05 03:00:00,Netherlands,Netherlands,NL,220.08,270.9,62.43,57.92,ned.nl,false,
2022-01-05 04:00:00,Netherlands,Netherlands,NL,224.4,277.02,60.68,56.52,ned.nl,false,
2022-01-05 05:00:00,Netherlands,Netherlands,NL,236.98,292.75,57.61,53.82,ned.nl,false,
2022-01-05 06:00:00,Netherlands,Netherlands,NL,242.64,300.2,55.9,52.58,ned.nl,false,
2022-01-05 07:00:00,Netherlands,Netherlands,NL,249.84,310.09,53.47,50.38,ned.nl,false,
2022-01-05 08:00:00,Netherlands,Netherlands,NL,252.63,314.84,52.06,49.04,ned.nl,false,
2022-01-05 09:00:00,Netherlands,Netherlands,NL,242.64,303.42,54.02,51.12,ned.nl,false,
2022-01-05 10:00:00,Netherlands,Netherlands,NL,227.21,285.38,57.16,54.33,ned.nl,false,
2022-01-05 11:00:00,Netherlands,Netherlands,NL,215.23,271.68,59.38,56.65,ned.nl,false,
2022-01-05 12:00:00,Netherlands,Netherlands,NL,216.12,272.85,58.97,56.3,ned.nl,false,
2022-01-05 13:00:00,Netherlands,Netherlands,NL,227.36,285.18,57.23,54.47,ned.nl,false,
2022-01-05 14:00:00,Netherlands,Netherlands,NL,245.88,306.96,53.26,50.52,ned.nl,false,
2022-01-05 15:00:00,Netherlands,Netherlands,NL,265.28,330.42,48.78,45.97,ned.nl,false,
2022-01-05 16:00:00,Netherlands,Netherlands,NL,275.71,342.36,47.2,44.27,ned.nl,false,
2022-01-05 17:00:00,Netherlands,Netherlands,NL,280.68,347.18,47.5,44.39,ned.nl,false,
2022-01-05 18:00:00,Netherlands,Netherlands,NL,280.61,347.09,47.54,44.29,ned.nl,false,
2022-01-05 19:00:00,Netherlands,Netherlands,NL,275.52,339.47,50.14,46.49,ned.nl,false,
2022-01-05 20:00:00,Netherlands,Netherlands,NL,274.19,338.77,49.93,46.09,ned.nl,false,
2022-01-05 21:00:00,Netherlands,Netherlands,NL,275.22,336.99,52.79,48.59,ned.nl,false,
2022-01-05 22:00:00,Netherlands,Netherlands,NL,285.74,348.22,52.48,47.86,ned.nl,false,
2022-01-05 23:00:00,Netherlands,Netherlands,NL,280.77,343.69,51.82,47.41,ned.nl,false,
2022-01-06 00:00:00,Netherlands,Netherlands,NL,300.97,367.32,48.51,43.99,ned.nl,false,
2022-01-06 01:00:00,Netherlands,Netherlands,NL,326.83,397.93,44.08,39.21,ned.nl,false,
2022-01-06 02:00:00,Netherlands,Netherlands,NL,335.37,408.1,42.78,37.64,ned.nl,false,
2022-01-06 03:00:00,Netherlands,Netherlands,NL,356.89,432.77,39.72,34.4,ned.nl,false,
2022-01-06 04:00:00,Netherlands,Netherlands,NL,378.05,457.35,36.6,31.1,ned.nl,false,
2022-01-06 05:00:00,Netherlands,Netherlands,NL,398.2,484.97,28.95,24.03,ned.nl,false,
2022-01-06 06:00:00,Netherlands,Netherlands,NL,402.82,494.04,24.7,20.41,ned.nl,false,
2022-01-06 07:00:00,Netherlands,Netherlands,NL,414.97,507.34,23.54,19.28,ned.nl,false,
2022-01-06 08:00:00,Netherlands,Netherlands,NL,403.03,494.03,25.41,21.12,ned.nl,false,
2022-01-06 09:00:00,Netherlands,Netherlands,NL,362.17,448.65,31.76,28.1,ned.nl,false,
2022-01-06 10:00:00,Netherlands,Netherlands,NL,330.74,414.69,35.33,32.31,ned.nl,false,
2022-01-06 11:00:00,Netherlands,Netherlands,NL,314.9,397.83,36.24,33.51,ned.nl,false,
2022-01-06 12:00:00,Netherlands,Netherlands,NL,306.54,388.58,36.76,34.2,ned.nl,false,
2022-01-06 13:00:00,Netherlands,Netherlands,NL,311.68,393.99,35.19,32.62,ned.nl,false,
2022-01-06 14:00:00,Netherlands,Netherlands,NL,326.51,410.45,32.31,29.62,ned.nl,false,
2022-01-06 15:00:00,Netherlands,Netherlands,NL,347.34,434.28,28.06,25.25,ned.nl,false,
2022-01-06 16:00:00,Netherlands,Netherlands,NL,345.1,431.45,28.3,25.57,ned.nl,false,
2022-01-06 17:00:00,Netherlands,Netherlands,NL,340.15,423.99,30.72,27.89,ned.nl,false,
2022-01-06 18:00:00,Netherlands,Netherlands,NL,330.48,408.13,36.84,33.52,ned.nl,false,
2022-01-06 19:00:00,Netherlands,Netherlands,NL,299.31,368.62,44.89,41.44,ned.nl,false,
2022-01-06 20:00:00,Netherlands,Netherlands,NL,266.67,328.39,52.43,48.95,ned.nl,false,
2022-01-06 21:00:00,Netherlands,Netherlands,NL,253.73,311.98,55.67,52.12,ned.nl,false,
2022-01-06 22:00:00,Netherlands,Netherlands,NL,239.02,292.92,59.53,55.79,ned.nl,false,
2022-01-06 23:00:00,Netherlands,Netherlands,NL,230.36,281.09,62.44,58.29,ned.nl,false,
2022-01-07 00:00:00,Netherlands,Netherlands,NL,221.7,271.46,63.52,59.39,ned.nl,false,
2022-01-07 01:00:00,Netherlands,Netherlands,NL,214.56,263.83,63.85,59.91,ned.nl,false,
2022-01-07 02:00:00,Netherlands,Netherlands,NL,219.27,269.52,62.73,58.73,ned.nl,false,
2022-01-07 03:00:00,Netherlands,Netherlands,NL,213.26,263.13,62.97,59.12,ned.nl,false,
2022-01-07 04:00:00,Netherlands,Netherlands,NL,228.56,280.97,60.52,56.66,ned.nl,false,
2022-01-07 05:00:00,Netherlands,Netherlands,NL,240.11,296.39,56.7,53.32,ned.nl,false,
2022-01-07 06:00:00,Netherlands,Netherlands,NL,256.32,316.7,53.13,50.02,ned.nl,false,
2022-01-07 07:00:00,Netherlands,Netherlands,NL,271.65,335.87,49.63,46.65,ned.nl,false,
2022-01-07 08:00:00,Netherlands,Netherlands,NL,280.25,345.96,48.37,45.37,ned.nl,false,
2022-01-07 09:00:00,Netherlands,Netherlands,NL,272.58,337.57,49.9,46.99,ned.nl,false,
2022-01-07 10:00:00,Netherlands,Netherlands,NL,256.57,320.13,52.3,49.57,ned.nl,false,
2022-01-07 11:00:00,Netherlands,Netherlands,NL,250.79,314.05,53.25,50.57,ned.nl,false,
2022-01-07 12:00:00,Netherlands,Netherlands,NL,253.43,317.21,52.34,49.67,ned.nl,false,
2022-01-07 13:00:00,Netherlands,Netherlands,NL,260.13,324.78,50.88,48.12,ned.nl,false,
2022-01-07 14:00:00,Netherlands,Netherlands,NL,283.46,351.0,47.39,44.41,ned.nl,false,
2022-01-07 15:00:00,Netherlands,Netherlands,NL,306.42,378.43,42.53,39.44,ned.nl,false,
2022-01-07 16:00:00,Netherlands,Netherlands,NL,323.81,398.83,39.42,36.3,ned.nl,false,
2022-01-07 17:00:00,Netherlands,Netherlands,NL,332.98,407.43,40.04,36.73,ned.nl,false,
2022-01-07 18:00:00,Netherlands,Netherlands,NL,339.97,413.12,41.52,37.83,ned.nl,false,
2022-01-07 19:00:00,Netherlands,Netherlands,NL,346.91,421.38,40.41,36.48,ned.nl,false,
2022-01-07 20:00:00,Netherlands,Netherlands,NL,336.95,409.3,42.51,38.48,ned.nl,false,
2022-01-07 21:00:00,Netherlands,Netherlands,NL,337.25,410.97,40.87,36.85,ned.nl,false,
2022-01-07 22:00:00,Netherlands,Netherlands,NL,334.63,407.67,41.47,37.27,ned.nl,false,
2022-01-07 23:00:00,Netherlands,Netherlands,NL,329.99,400.21,44.83,39.81,ned.nl,false,
2022-01-08 00:00:00,Netherlands,Netherlands,NL,321.95,390.12,46.64,41.35,ned.nl,false,
2022-01-08 01:00:00,Netherlands,Netherlands,NL,330.28,399.08,46.36,40.91,ned.nl,false,
2022-01-08 02:00:00,Netherlands,Netherlands,NL,340.56,410.84,45.22,39.6,ned.nl,false,
2022-01-08 03:00:00,Netherlands,Netherlands,NL,345.91,418.16,43.37,37.65,ned.nl,false,
2022-01-08 04:00:00,Netherlands,Netherlands,NL,339.26,411.36,43.21,37.91,ned.nl,false,
2022-01-08 05:00:00,Netherlands,Netherlands,NL,343.39,415.81,42.92,37.66,ned.nl,false,
2022-01-08 06:00:00,Netherlands,Netherlands,NL,343.4,417.67,41.0,36.18,ned.nl,false,
2022-01-08 07:00:00,Netherlands,Netherlands,NL,339.86,414.52,39.95,35.77,ned.nl,false,
2022-01-08 08:00:00,Netherlands,Netherlands,NL,317.14,388.7,43.27,39.54,ned.nl,false,
2022-01-08 09:00:00,Netherlands,Netherlands,NL,276.86,342.36,50.28,46.89,ned.nl,false,
2022-01-08 10:00:00,Netherlands,Netherlands,NL,237.96,299.07,55.3,52.24,ned.nl,false,
2022-01-08 11:00:00,Netherlands,Netherlands,NL,222.69,280.34,58.88,55.81,ned.nl,false,
2022-01-08 12:00:00,Netherlands,Netherlands,NL,216.32,271.9,60.71,57.57,ned.nl,false,
2022-01-08 13:00:00,Netherlands,Netherlands,NL,215.92,270.68,60.63,57.45,ned.nl,false,
2022-01-08 14:00:00,Netherlands,Netherlands,NL,219.4,274.09,59.76,56.53,ned.nl,false,
2022-01-08 15:00:00,Netherlands,Netherlands,NL,228.87,284.05,58.81,55.42,ned.nl,false,
2022-01-08 16:00:00,Netherlands,Netherlands,NL,223.06,277.96,58.81,55.55,ned.nl,false,
2022-01-08 17:00:00,Netherlands,Netherlands,NL,221.07,275.88,58.82,55.62,ned.nl,false,
2022-01-08 18:00:00,Netherlands,Netherlands,NL,215.83,269.28,60.22,56.91,ned.nl,false,
2022-01-08 19:00:00,Netherlands,Netherlands,NL,213.72,267.69,59.7,56.36,ned.nl,false,
2022-01-08 20:00:00,Netherlands,Netherlands,NL,212.95,266.16,60.35,56.68,ned.nl,false,
2022-01-08 21:00:00,Netherlands,Netherlands,NL,217.09,270.99,59.64,56.06,ned.nl,false,
2022-01-08 22:00:00,Netherlands,Netherlands,NL,215.36,268.84,60.1,56.42,ned.nl,false,
2022-01-08 23:00:00,Netherlands,Netherlands,NL,229.56,285.6,57.46,52.25,ned.nl,false,
2022-01-09 00:00:00,Netherlands,Netherlands,NL,218.69,271.53,60.6,53.78,ned.nl,false,
2022-01-09 01:00:00,Netherlands,Netherlands,NL,207.49,258.06,63.03,56.06,ned.nl,false,
2022-01-09 02:00:00,Netherlands,Netherlands,NL,195.66,245.02,63.57,54.91,ned.nl,false,
2022-01-09 03:00:00,Netherlands,Netherlands,NL,190.71,238.97,64.42,57.09,ned.nl,false,
2022-01-09 04:00:00,Netherlands,Netherlands,NL,186.44,234.25,65.4,58.26,ned.nl,false,
2022-01-09 05:00:00,Netherlands,Netherlands,NL,189.06,237.32,65.25,58.03,ned.nl,false,
2022-01-09 06:00:00,Netherlands,Netherlands,NL,212.66,264.84,61.7,56.94,ned.nl,false,
2022-01-09 07:00:00,Netherlands,Netherlands,NL,240.87,297.6,57.35,53.3,ned.nl,false,
2022-01-09 08:00:00,Netherlands,Netherlands,NL,243.65,303.67,54.65,50.96,ned.nl,false,
2022-01-09 09:00:00,Netherlands,Netherlands,NL,253.17,313.52,56.02,52.42,ned.nl,false,
2022-01-09 10:00:00,Netherlands,Netherlands,NL,246.25,305.79,58.02,54.54,ned.nl,false,
2022-01-09 11:00:00,Netherlands,Netherlands,NL,240.14,300.27,58.35,55.01,ned.nl,false,
2022-01-09 12:00:00,Netherlands,Netherlands,NL,238.49,300.92,56.37,53.12,ned.nl,false,
2022-01-09 13:00:00,Netherlands,Netherlands,NL,254.72,318.85,54.06,50.68,ned.nl,false,
2022-01-09 14:00:00,Netherlands,Netherlands,NL,290.92,360.33,48.0,44.49,ned.nl,false,
2022-01-09 15:00:00,Netherlands,Netherlands,NL,336.43,416.06,36.42,32.91,ned.nl,false,
2022-01-09 16:00:00,Netherlands,Netherlands,NL,363.37,450.73,28.48,25.27,ned.nl,false,
2022-01-09 17:00:00,Netherlands,Netherlands,NL,368.38,458.19,26.07,22.98,ned.nl,false,
2022-01-09 18:00:00,Netherlands,Netherlands,NL,371.6,461.93,25.41,22.32,ned.nl,false,
2022-01-09 19:00:00,Netherlands,Netherlands,NL,374.49,465.41,24.81,21.63,ned.nl,false,
2022-01-09 20:00:00,Netherlands,Netherlands,NL,379.42,470.52,24.81,21.52,ned.nl,false,
2022-01-09 21:00:00,Netherlands,Netherlands,NL,383.54,474.58,25.13,21.52,ned.nl,false,
2022-01-09 22:00:00,Netherlands,Netherlands,NL,401.8,490.58,27.43,23.17,ned.nl,false,
2022-01-09 23:00:00,Netherlands,Netherlands,NL,404.4,491.24,29.25,24.53,ned.nl,false,
2022-01-10 00:00:00,Netherlands,Netherlands,NL,411.11,499.21,28.23,23.32,ned.nl,false,
2022-01-10 01:00:00,Netherlands,Netherlands,NL,410.26,499.24,27.46,22.42,ned.nl,false,
2022-01-10 02:00:00,Netherlands,Netherlands,NL,399.68,489.26,26.67,21.72,ned.nl,false,
2022-01-10 03:00:00,Netherlands,Netherlands,NL,371.26,459.93,27.76,20.49,ned.nl,false,
2022-01-10 04:00:00,Netherlands,Netherlands,NL,368.15,458.73,25.93,19.72,ned.nl,false,
2022-01-10 05:00:00,Netherlands,Netherlands,NL,377.23,472.61,21.79,15.26,ned.nl,false,
2022-01-10 06:00:00,Netherlands,Netherlands,NL,380.62,478.24,19.55,13.39,ned.nl,false,
2022-01-10 07:00:00,Netherlands,Netherlands,NL,390.0,488.77,17.82,12.72,ned.nl,false,
2022-01-10 08:00:00,Netherlands,Netherlands,NL,384.06,481.55,19.22,14.38,ned.nl,false,
2022-01-10 09:00:00,Netherlands,Netherlands,NL,363.92,458.07,23.5,19.33,ned.nl,false,
2022-01-10 10:00:00,Netherlands,Netherlands,NL,344.94,435.56,28.03,24.86,ned.nl,false,
2022-01-10 11:00:00,Netherlands,Netherlands,NL,335.59,424.4,30.21,27.44,ned.nl,false,
2022-01-10 12:00:00,Netherlands,Netherlands,NL,336.52,425.2,30.05,27.12,ned.nl,false,
2022-01-10 13:00:00,Netherlands,Netherlands,NL,337.73,426.77,29.57,26.22,ned.nl,false,
2022-01-10 14:00:00,Netherlands,Netherlands,NL,355.79,447.8,25.6,21.28,ned.nl,false,
2022-01-10 15:00:00,Netherlands,Netherlands,NL,374.03,470.05,20.84,15.66,ned.nl,false,
2022-01-10 16:00:00,Netherlands,Netherlands,NL,381.87,478.75,19.52,14.0,ned.nl,false,
2022-01-10 17:00:00,Netherlands,Netherlands,NL,387.66,484.73,18.89,15.38,ned.nl,false,
2022-01-10 18:00:00,Netherlands,Netherlands,NL,384.26,480.56,19.68,16.3,ned.nl,false,
2022-01-10 19:00:00,Netherlands,Netherlands,NL,383.11,478.63,20.18,17.28,ned.nl,false,
2022-01-10 20:00:00,Netherlands,Netherlands,NL,368.17,461.13,23.02,18.57,ned.nl,false,
2022-01-10 21:00:00,Netherlands,Netherlands,NL,359.3,450.6,25.06,21.72,ned.nl,false,
2022-01-10 22:00:00,Netherlands,Netherlands,NL,349.99,439.67,26.78,23.17,ned.nl,false,
2022-01-10 23:00:00,Netherlands,Netherlands,NL,353.03,442.17,26.6,23.36,ned.nl,false,
2022-01-11 00:00:00,Netherlands,Netherlands,NL,348.38,437.23,26.98,23.76,ned.nl,false,
2022-01-11 01:00:00,Netherlands,Netherlands,NL,342.21,430.3,27.8,24.58,ned.nl,false,
2022-01-11 02:00:00,Netherlands,Netherlands,NL,337.01,424.71,28.28,25.08,ned.nl,false,
2022-01-11 03:00:00,Netherlands,Netherlands,NL,335.21,422.9,28.23,25.09,ned.nl,false,
2022-01-11 04:00:00,Netherlands,Netherlands,NL,338.11,427.0,27.09,24.05,ned.nl,false,
2022-01-11 05:00:00,Netherlands,Netherlands,NL,344.04,434.34,25.69,22.59,ned.nl,false,
2022-01-11 06:00:00,Netherlands,Netherlands,NL,345.77,436.16,25.96,22.75,ned.nl,false,
2022-01-11 07:00:00,Netherlands,Netherlands,NL,349.63,440.25,25.67,22.59,ned.nl,false,
2022-01-11 08:00:00,Netherlands,Netherlands,NL,345.75,434.69,27.34,24.61,ned.nl,false,
2022-01-11 09:00:00,Netherlands,Netherlands,NL,330.59,416.45,30.95,28.63,ned.nl,false,
2022-01-11 10:00:00,Netherlands,Netherlands,NL,309.33,392.22,34.94,32.7,ned.nl,false,
2022-01-11 11:00:00,Netherlands,Netherlands,NL,295.09,375.37,38.22,36.04,ned.nl,false,
2022-01-11 12:00:00,Netherlands,Netherlands,NL,292.5,372.99,38.37,36.23,ned.nl,false,
2022-01-11 13:00:00,Netherlands,Netherlands,NL,310.08,393.14,34.77,32.55,ned.nl,false,
2022-01-11 14:00:00,Netherlands,Netherlands,NL,331.51,418.18,30.4,28.07,ned.nl,false,
2022-01-11 15:00:00,Netherlands,Netherlands,NL,360.7,452.51,24.19,21.69,ned.nl,false,
2022-01-11 16:00:00,Netherlands,Netherlands,NL,375.34,470.14,21.02,18.51,ned.nl,false,
2022-01-11 17:00:00,Netherlands,Netherlands,NL,377.21,472.06,21.0,18.47,ned.nl,false,
2022-01-11 18:00:00,Netherlands,Netherlands,NL,377.46,472.9,20.42,17.83,ned.nl,false,
2022-01-11 19:00:00,Netherlands,Netherlands,NL,380.62,476.74,19.76,17.14,ned.nl,false,
2022-01-11 20:00:00,Netherlands,Netherlands,NL,376.22,471.19,21.04,18.28,ned.nl,false,
2022-01-11 21:00:00,Netherlands,Netherlands,NL,374.67,470.65,20.47,17.6,ned.nl,false,
